Number,GPT4o,GPT3.5,Gemma27b,Meta-Llama,LOC
34,Compilation Failed,Decompilation Failed,Decompilation Failed,Decompilation Failed,1231
35,Compilation Failed,Compilation Failed,Compilation Failed,Compilation Failed,111
36,Compilation Failed,Compilation Failed,Compilation Failed,Execution Failed,55
37,Compilation Failed,Decompilation Failed,Decompilation Failed,Decompilation Failed,1347
38,Compilation Failed,Decompilation Failed,Decompilation Failed,Decompilation Failed,1042
39,Compilation Failed,Compilation Failed,Passed,Execution Failed,59
40,Compilation Failed,Compilation Failed,Execution Failed,Compilation Failed,102
41,Compilation Failed,Compilation Failed,Passed,Passed,19
42,Compilation Failed,Compilation Failed,Compilation Failed,Compilation Failed,157
43,Passed,Compilation Failed,Compilation Failed,Compilation Failed,85
44,Compilation Failed,Compilation Failed,Decompilation Failed,Decompilation Failed,326
45,Compilation Failed,Compilation Failed,Compilation Failed,Compilation Failed,20
46,Compilation Failed,Compilation Failed,Execution Failed,Compilation Failed,119
47,Compilation Failed,Decompilation Failed,Decompilation Failed,Decompilation Failed,985
48,Compilation Failed,Compilation Failed,Compilation Failed,Decompilation Failed,293
49,Compilation Failed,Compilation Failed,Compilation Failed,Passed,67
50,Compilation Failed,Compilation Failed,Decompilation Failed,Decompilation Failed,464
51,Compilation Failed,Compilation Failed,Decompilation Failed,Decompilation Failed,407
52,Compilation Failed,Compilation Failed,Compilation Failed,Compilation Failed,72
53,Compilation Failed,Compilation Failed,Compilation Failed,Compilation Failed,19
54,Execution Failed,Compilation Failed,Decompilation Failed,Decompilation Failed,415
55,Compilation Failed,Compilation Failed,Execution Failed,Compilation Failed,126
56,Passed,Compilation Failed,Compilation Failed,Compilation Failed,68
57,Execution Failed,Compilation Failed,Compilation Failed,Compilation Failed,128
58,Compilation Failed,Decompilation Failed,Decompilation Failed,Decompilation Failed,1348
59,Compilation Failed,Compilation Failed,Compilation Failed,Passed,51
60,Compilation Failed,Compilation Failed,Passed,Passed,21
61,Passed,Compilation Failed,Compilation Failed,Compilation Failed,68
62,Compilation Failed,Compilation Failed,Compilation Failed,Compilation Failed,203
63,Compilation Failed,Compilation Failed,Compilation Failed,Compilation Failed,110
64,Execution Failed,Compilation Failed,Compilation Failed,Passed,148
65,Compilation Failed,Decompilation Failed,Decompilation Failed,Decompilation Failed,828
66,Execution Failed,Compilation Failed,Compilation Failed,Compilation Failed,164
67,Passed,Compilation Failed,Decompilation Failed,Decompilation Failed,495
68,Compilation Failed,Compilation Failed,Compilation Failed,Compilation Failed,219
69,Compilation Failed,Compilation Failed,Decompilation Failed,Decompilation Failed,459
70,Compilation Failed,Decompilation Failed,Decompilation Failed,Decompilation Failed,1310
71,Passed,Execution Failed,Compilation Failed,Passed,49
72,Compilation Failed,Compilation Failed,Compilation Failed,Compilation Failed,77
73,Compilation Failed,Compilation Failed,Compilation Failed,Compilation Failed,64
74,Compilation Failed,Compilation Failed,Compilation Failed,Decompilation Failed,210
75,Compilation Failed,Compilation Failed,Compilation Failed,Passed,56
76,Compilation Failed,Execution Failed,Execution Failed,Execution Failed,39
77,Compilation Failed,Compilation Failed,Compilation Failed,Compilation Failed,37
78,Execution Failed,Compilation Failed,Passed,Compilation Failed,124
79,Compilation Failed,Compilation Failed,Decompilation Failed,Decompilation Failed,627
80,Execution Failed,Compilation Failed,Execution Failed,Execution Failed,77
81,Compilation Failed,Decompilation Failed,Decompilation Failed,Decompilation Failed,1564
82,Passed,Compilation Failed,Compilation Failed,Compilation Failed,57
83,Compilation Failed,Compilation Failed,Compilation Failed,Execution Failed,110
84,Compilation Failed,Compilation Failed,Decompilation Failed,Decompilation Failed,575
85,Compilation Failed,Compilation Failed,Compilation Failed,Compilation Failed,143
86,Compilation Failed,Decompilation Failed,Decompilation Failed,Decompilation Failed,1729
87,Compilation Failed,Compilation Failed,Decompilation Failed,Decompilation Failed,327
88,Compilation Failed,Decompilation Failed,Decompilation Failed,Decompilation Failed,1166
89,Compilation Failed,Compilation Failed,Compilation Failed,Decompilation Failed,260
90,Compilation Failed,Decompilation Failed,Decompilation Failed,Decompilation Failed,988
91,Execution Failed,Compilation Failed,Compilation Failed,Execution Failed,123
92,Execution Failed,Compilation Failed,Execution Failed,Passed,46
93,Compilation Failed,Compilation Failed,Decompilation Failed,Decompilation Failed,401
94,Compilation Failed,Compilation Failed,Decompilation Failed,Decompilation Failed,439
95,Compilation Failed,Compilation Failed,Compilation Failed,Decompilation Failed,204
96,Compilation Failed,Compilation Failed,Compilation Failed,Compilation Failed,237
97,Passed,Compilation Failed,Compilation Failed,Passed,27
98,Execution Failed,Compilation Failed,Compilation Failed,Execution Failed,122
99,Passed,Compilation Failed,Compilation Failed,Compilation Failed,45
100,Compilation Failed,Compilation Failed,Compilation Failed,Compilation Failed,181
101,Compilation Failed,Decompilation Failed,Decompilation Failed,Decompilation Failed,852
102,Compilation Failed,Compilation Failed,Execution Failed,Execution Failed,35
103,Compilation Failed,Compilation Failed,Decompilation Failed,Decompilation Failed,383
104,Compilation Failed,Decompilation Failed,Decompilation Failed,Decompilation Failed,1150
105,Compilation Failed,Decompilation Failed,Decompilation Failed,Decompilation Failed,2587
106,Compilation Failed,Compilation Failed,Compilation Failed,Decompilation Failed,266
107,Compilation Failed,Compilation Failed,Decompilation Failed,Decompilation Failed,482
108,Execution Failed,Compilation Failed,Compilation Failed,Compilation Failed,91
109,Compilation Failed,Compilation Failed,Compilation Failed,Compilation Failed,130
110,Compilation Failed,Compilation Failed,Decompilation Failed,Decompilation Failed,318
111,Compilation Failed,Decompilation Failed,Decompilation Failed,Decompilation Failed,866
112,Compilation Failed,Decompilation Failed,Decompilation Failed,Decompilation Failed,1250
113,Compilation Failed,Decompilation Failed,Decompilation Failed,Decompilation Failed,1069
114,Compilation Failed,Compilation Failed,Compilation Failed,Compilation Failed,100
115,Compilation Failed,Compilation Failed,Compilation Failed,Decompilation Failed,217
116,Compilation Failed,Compilation Failed,Compilation Failed,Decompilation Failed,295
117,Compilation Failed,Decompilation Failed,Decompilation Failed,Decompilation Failed,1003
118,Compilation Failed,Compilation Failed,Decompilation Failed,Decompilation Failed,438
119,Compilation Failed,Compilation Failed,Decompilation Failed,Decompilation Failed,545
120,Compilation Failed,Decompilation Failed,Decompilation Failed,Decompilation Failed,1023
121,Compilation Failed,Compilation Failed,Compilation Failed,Compilation Failed,145
122,Compilation Failed,Compilation Failed,Compilation Failed,Compilation Failed,155
123,Compilation Failed,Decompilation Failed,Decompilation Failed,Decompilation Failed,1137
124,Execution Failed,Compilation Failed,Execution Failed,Decompilation Failed,294
125,Compilation Failed,Decompilation Failed,Decompilation Failed,Decompilation Failed,1876
126,Execution Failed,Compilation Failed,Compilation Failed,Compilation Failed,77
127,Compilation Failed,Compilation Failed,Compilation Failed,Compilation Failed,121
128,Compilation Failed,Execution Failed,Compilation Failed,Compilation Failed,119
129,Compilation Failed,Compilation Failed,Decompilation Failed,Decompilation Failed,472
130,Compilation Failed,Compilation Failed,Compilation Failed,Decompilation Failed,323
131,Compilation Failed,Compilation Failed,Compilation Failed,Decompilation Failed,218
132,Execution Failed,Compilation Failed,Compilation Failed,Compilation Failed,82
133,Passed,Compilation Failed,Compilation Failed,Compilation Failed,109
134,Execution Failed,Compilation Failed,Compilation Failed,Compilation Failed,76
135,Compilation Failed,Compilation Failed,Compilation Failed,Compilation Failed,121
136,Compilation Failed,Compilation Failed,Compilation Failed,Compilation Failed,119
137,Compilation Failed,Decompilation Failed,Decompilation Failed,Decompilation Failed,3311
138,Compilation Failed,Compilation Failed,Compilation Failed,Passed,22
139,Execution Failed,Compilation Failed,Compilation Failed,Compilation Failed,93
140,Compilation Failed,Decompilation Failed,Decompilation Failed,Decompilation Failed,1274
141,Compilation Failed,Compilation Failed,Compilation Failed,Decompilation Failed,311
142,Compilation Failed,Execution Failed,Compilation Failed,Compilation Failed,87
143,Compilation Failed,Compilation Failed,Decompilation Failed,Decompilation Failed,751
144,Compilation Failed,Compilation Failed,Decompilation Failed,Decompilation Failed,435
145,Compilation Failed,Compilation Failed,Decompilation Failed,Decompilation Failed,518
146,Compilation Failed,Compilation Failed,Compilation Failed,Decompilation Failed,213
147,Compilation Failed,Decompilation Failed,Decompilation Failed,Decompilation Failed,2294
148,Compilation Failed,Decompilation Failed,Decompilation Failed,Decompilation Failed,1094
149,Compilation Failed,Decompilation Failed,Decompilation Failed,Decompilation Failed,2315
150,Execution Failed,Compilation Failed,Compilation Failed,Execution Failed,41
151,Compilation Failed,Compilation Failed,Compilation Failed,Compilation Failed,90
152,Compilation Failed,Compilation Failed,Compilation Failed,Compilation Failed,206
153,Compilation Failed,Compilation Failed,Decompilation Failed,Decompilation Failed,389
154,Execution Failed,Compilation Failed,Decompilation Failed,Decompilation Failed,338
155,Compilation Failed,Compilation Failed,Compilation Failed,Decompilation Failed,293
156,Compilation Failed,Decompilation Failed,Decompilation Failed,Decompilation Failed,1044
157,Passed,Compilation Failed,Compilation Failed,Passed,54
158,Compilation Failed,Compilation Failed,Decompilation Failed,Decompilation Failed,509
159,Compilation Failed,Compilation Failed,Compilation Failed,Compilation Failed,82
160,Execution Failed,Compilation Failed,Decompilation Failed,Decompilation Failed,510
161,Compilation Failed,Compilation Failed,Decompilation Failed,Decompilation Failed,538
162,Compilation Failed,Compilation Failed,Decompilation Failed,Decompilation Failed,485
163,Compilation Failed,Compilation Failed,Compilation Failed,Compilation Failed,189
