CPP_number,Code,GPT4,GPT4_SC
CPP_59,"/*
Return the largest prime factor of n. Assume n > 1 and is not a prime.
>>> largest_prime_factor(13195)
29
>>> largest_prime_factor(2048)
2
*/
#include<stdio.h>
using namespace std;
int largest_prime_factor(int n){

    for (int i=2;i*i<=n;i++)
    while (n%i==0 and n>i)  n=n/i;
    return n;
}

#undef NDEBUG
#include<assert.h>
int main(){
    assert (largest_prime_factor(15) == 5);
    assert (largest_prime_factor(27) == 3);
    assert (largest_prime_factor(63) == 7);
    assert (largest_prime_factor(330) == 11);
    assert (largest_prime_factor(13195) == 29);
}
",pass,partial pass
CPP_32,"#include<stdio.h>
#include<math.h>
#include<vector>
using namespace std;
double poly(vector<double> xs, double x){
    /* 
    Evaluates polynomial with coefficients xs at point x. return xs[0] + xs[1] * x + xs[1] * x^2 + .... xs[n] * x^n 
    */
    double sum=0;
    int i;
    for (i=0;i<xs.size();i++)
    {
        sum+=xs[i]*pow(x,i);
    }
    return sum;
}

double find_zero(vector<double> xs){
    /*
    xs are coefficients of a polynomial. find_zero find x such that poly(x) = 0. find_zero returns only only zero point, even if there are many. 
    Moreover, find_zero only takes list xs having even number of coefficients and largest non zero coefficient as it guarantees a solution.
    >>> round(find_zero([1, 2]), 2) #f(x) = 1 + 2x 
    -0.5 
    >>> round(find_zero([-6, 11, -6, 1]), 2) # (x - 1) * (x - 2) * (x - 3) = -6 + 11x - 6x^2 + x^3 
    1.0
    */

    double ans=0;
    double value;
    value=poly(xs,ans);
    while (abs(value)>1e-6)
    {
        double driv=0;
        for (int i=1;i<xs.size();i++)
        {
            driv+=xs[i]*pow(ans,i-1)*i;
        }
        ans=ans-value/driv;
        value=poly(xs,ans);
    }
    return ans;

}

#undef NDEBUG
#include<assert.h>
int main(){
   
    double solution;
    int ncoeff;
    for (int i=0;i<100;i++)
    {
        ncoeff = 2 * (1+rand()%4);
        vector<double> coeffs = {};
        for (int j=0;j<ncoeff;j++)
        {
            double coeff = -10+rand()%21;
            if (coeff == 0) coeff = 1;
            coeffs.push_back(coeff);
        }
        
        solution = find_zero(coeffs);
        assert (abs(poly(coeffs, solution))< 1e-3);
    }
}
",pass,pass
CPP_77,"/*
Write a function that takes an integer a and returns true 
if this ingeger is a cube of some integer number.
Note: you may assume the input is always valid.
Examples:
iscube(1) ==> true
iscube(2) ==> false
iscube(-1) ==> true
iscube(64) ==> true
iscube(0) ==> true
iscube(180) ==> false
*/
#include<stdio.h>
#include<math.h>
using namespace std;
bool iscuber(int a){

    for (int i=0;i*i*i<=abs(a);i++)
        if (i*i*i==abs(a)) return true;
    return false;
}

#undef NDEBUG
#include<assert.h>
int main(){
    assert (iscuber(1) == true);
    assert (iscuber(2) == false);
    assert (iscuber(-1) == true);
    assert (iscuber(64) == true);
    assert (iscuber(180) == false);
    assert (iscuber(1000) == true);
    assert (iscuber(0) == true);
    assert (iscuber(1729) == false);
}
",pass,pass
CPP_10,"#include<stdio.h>
#include<string>
using namespace std;
bool is_palindrome(string str){
    //Test if given string is a palindrome 
    string s(str.rbegin(),str.rend());
    return s==str;
}
string make_palindrome(string str){
    /*
    Find the shortest palindrome that begins with a supplied string. 
    Algorithm idea is simple: - Find the longest postfix of supplied string that is a palindrome. 
    - Append to the end of the string reverse of a string prefix that comes before the palindromic suffix.
    >>> make_palindrome("""") 
    """" 
    >>> make_palindrome(""cat"") 
    ""catac"" 
    >>> make_palindrome(""cata"") 
    ""catac"" 
    */

   int i;
   for (i=0;i<str.length();i++)
   {
        string rstr=str.substr(i);
        if (is_palindrome(rstr))
        {
            string nstr;
            nstr=str.substr(0,i);
            string n2str(nstr.rbegin(),nstr.rend());
            return str+n2str;
        }
   }
   string n2str(str.rbegin(),str.rend());
   return str+n2str;
}

#undef NDEBUG
#include<assert.h>
int main(){
    assert (make_palindrome("""") == """");
    assert (make_palindrome(""x"") == ""x"");
     assert (make_palindrome(""xyz"") == ""xyzyx"");
     assert (make_palindrome(""xyx"") == ""xyx"") ;
     assert (make_palindrome(""jerry"") == ""jerryrrej"");
}


",pass,pass
CPP_98,"/*
Given a string s, count the number of uppercase vowels in even indices.

For example:
count_upper(""aBCdEf"") returns 1
count_upper(""abcdefg"") returns 0
count_upper(""dBBE"") returns 0
*/
#include<stdio.h>
#include<string>
#include<algorithm>
using namespace std;
int count_upper(string s){

    string uvowel=""AEIOU"";
    int count=0;
    for (int i=0;i*2<s.length();i++)
    if (find(uvowel.begin(),uvowel.end(),s[i*2])!=uvowel.end())
        count+=1;
    return count;
}

#undef NDEBUG
#include<assert.h>
int main(){
    assert (count_upper(""aBCdEf"")  == 1);
    assert (count_upper(""abcdefg"") == 0);
    assert (count_upper(""dBBE"") == 0);
    assert (count_upper(""B"")  == 0);
    assert (count_upper(""U"")  == 1);
    assert (count_upper("""") == 0);
    assert (count_upper(""EEEE"") == 2);
}
",partial pass,partial pass
CPP_41,"/*
Imagine a road that's a perfectly straight infinitely long line.
n cars are driving left to right;  simultaneously, a different set of n cars
are driving right to left.   The two sets of cars start out being very far from
each other.  All cars move in the same speed.  Two cars are said to collide
when a car that's moving left to right hits a car that's moving right to left.
However, the cars are infinitely sturdy and strong; as a result, they continue moving
in their trajectory as if they did not collide.

This function outputs the number of such collisions.
*/
#include<stdio.h>
using namespace std;
int car_race_collision(int n){

    return n*n;
}

#undef NDEBUG
#include<assert.h>
int main(){
    assert (car_race_collision(2) == 4);
    assert (car_race_collision(3) == 9);
    assert (car_race_collision(4) == 16);
    assert (car_race_collision(8) == 64);
    assert (car_race_collision(10) == 100);
}
",pass,pass
CPP_0,"/*
Check if in given vector of numbers, are any two numbers closer to each other than
given threshold.
>>> has_close_elements({1.0, 2.0, 3.0}, 0.5)
false
>>> has_close_elements({1.0, 2.8, 3.0, 4.0, 5.0, 2.0}, 0.3)
true
*/
#include<stdio.h>
#include<vector>
#include<math.h>
using namespace std;
bool has_close_elements(vector<float> numbers, float threshold){

    int i,j;
    
    for (i=0;i<numbers.size();i++)
    for (j=i+1;j<numbers.size();j++)
    if (abs(numbers[i]-numbers[j])<threshold)
    return true;

    return false;
}


#undef NDEBUG
#include<assert.h>
int main(){
    vector<float> a={1.0, 2.0, 3.9, 4.0, 5.0, 2.2};
    assert (has_close_elements(a, 0.3)==true);
    assert (has_close_elements(a, 0.05) == false);

    assert (has_close_elements({1.0, 2.0, 5.9, 4.0, 5.0}, 0.95) == true);
    assert (has_close_elements({1.0, 2.0, 5.9, 4.0, 5.0}, 0.8) ==false);
    assert (has_close_elements({1.0, 2.0, 3.0, 4.0, 5.0}, 2.0) == true);
    assert (has_close_elements({1.1, 2.2, 3.1, 4.1, 5.1}, 1.0) == true);
    assert (has_close_elements({1.1, 2.2, 3.1, 4.1, 5.1}, 0.5) == false);
    
}
",pass,partial pass
CPP_90,"/*
You are given a vector of integers.
Write a function next_smallest() that returns the 2nd smallest element of the vector.
Return None if there is no such element.

next_smallest({1, 2, 3, 4, 5}) == 2
next_smallest({5, 1, 4, 3, 2}) == 2
next_smallest({}) == None
next_smallest({1, 1}) == None
*/
#include<stdio.h>
#include<vector>
#include<algorithm>
using namespace std;
int next_smallest(vector<int> lst){

    sort(lst.begin(),lst.end());
    for (int i=1;i<lst.size();i++)
        if (lst[i]!=lst[i-1]) return lst[i];
    return -1;
}

#undef NDEBUG
#include<assert.h>
int main(){
    assert (next_smallest({1, 2, 3, 4, 5}) == 2);
    assert (next_smallest({5, 1, 4, 3, 2}) == 2);
    assert (next_smallest({}) == -1);
    assert (next_smallest({1, 1}) == -1);
    assert (next_smallest({1,1,1,1,0}) == 1);
    assert (next_smallest({-35, 34, 12, -45}) == -35);
}
",partial pass,pass
CPP_157,"/*
Given the lengths of the three sides of a triangle. Return true if the three
sides form a right-angled triangle, false otherwise.
A right-angled triangle is a triangle in which one angle is right angle or 
90 degree.
Example:
right_angle_triangle(3, 4, 5) == true
right_angle_triangle(1, 2, 3) == false
*/
#include<stdio.h>
#include<math.h>
using namespace std;
bool right_angle_triangle(float a,float b,float c){

    if (abs(a*a+b*b-c*c)<1e-4 or abs(a*a+c*c-b*b)<1e-4 or abs(b*b+c*c-a*a)<1e-4) return true;
    return false;
}

#undef NDEBUG
#include<assert.h>
int main(){
    assert (right_angle_triangle(3, 4, 5) == true);
    assert (right_angle_triangle(1, 2, 3) == false);
    assert (right_angle_triangle(10, 6, 8) == true);
    assert (right_angle_triangle(2, 2, 2) == false);
    assert (right_angle_triangle(7, 24, 25) == true);
    assert (right_angle_triangle(10, 5, 7) == false);
    assert (right_angle_triangle(5, 12, 13) == true);
    assert (right_angle_triangle(15, 8, 17) == true);
    assert (right_angle_triangle(48, 55, 73) == true);
    assert (right_angle_triangle(1, 1, 1) == false);
    assert (right_angle_triangle(2, 2, 10) == false);
}
",partial pass,pass
CPP_86,"/*
Write a function that takes a string and returns an ordered version of it.
Ordered version of string, is a string where all words (separated by space)
are replaced by a new word where all the characters arranged in
ascending order based on ascii value.
Note: You should keep the order of words and blank spaces in the sentence.

For example:
anti_shuffle(""Hi"") returns ""Hi""
anti_shuffle(""hello"") returns ""ehllo""
anti_shuffle(""Hello World!!!"") returns ""Hello !!!Wdlor""
*/
#include<stdio.h>
#include<string>
#include<algorithm>
using namespace std;
string anti_shuffle(string s){

    string out="""";
    string current="""";
    s=s+' ';
    for (int i=0;i<s.length();i++)
    if (s[i]==' ')
    {
        sort(current.begin(),current.end());
        if (out.length()>0) out=out+' ';
        out=out+current;
        current="""";
    }
    else current=current+s[i];
    return out;
}

#undef NDEBUG
#include<assert.h>
int main(){
    assert (anti_shuffle(""Hi"") == ""Hi"");
    assert (anti_shuffle(""hello"") == ""ehllo"");
    assert (anti_shuffle(""number"") == ""bemnru"");
    assert (anti_shuffle(""abcd"") == ""abcd"");
    assert (anti_shuffle(""Hello World!!!"") == ""Hello !!!Wdlor"");
    assert (anti_shuffle("""") == """");
    assert (anti_shuffle(""Hi. My name is Mister Robot. How are you?"") == "".Hi My aemn is Meirst .Rboot How aer ?ouy"");
}
",partial pass,partial pass
CPP_162,"/*
Given a string 'text"", return its md5 hash equivalent string.
If 'text"" is an empty string, return None.

>>> string_to_md5(""Hello world"") == ""3e25960a79dbc69b674cd4ec67a72c62""
*/
#include<stdio.h>
#include<string>
#include<openssl/md5.h>
using namespace std;
string string_to_md5(string text){

    unsigned char md[16];
    if (text.length()==0) return ""None"";
    MD5_CTX c;
    int i;
   MD5_Init(&c);
   MD5_Update(&c, (unsigned char*)text.c_str(), text.length());
    MD5_Final(md, &c);
    string out_str="""";
    for (int i=0;i<16;i++)
        {
            char w;
            if (md[i]<160) w=48+md[i]/16;
            else w=87+md[i]/16;
            out_str=out_str+w;
            if (md[i]%16<10) w=48+md[i]%16;
            else w=87+md[i]%16;
            out_str=out_str+w;
        }
    return out_str;
}

#undef NDEBUG
#include<assert.h>
int main(){
    assert (string_to_md5(""Hello world"") == ""3e25960a79dbc69b674cd4ec67a72c62"");
    assert (string_to_md5("""") == ""None"");
    assert (string_to_md5(""A B C"") == ""0ef78513b0cb8cef12743f5aeb35f888"");
    assert (string_to_md5(""password"") == ""5f4dcc3b5aa765d61d8327deb882cf99"");
}
",partial pass,pass
CPP_141,"/*
Create a function which takes a string representing a file's name, and returns
""Yes"" if the the file's name is valid, and returns ""No"" otherwise.
A file's name is considered to be valid if and only if all the following conditions 
are met:
- There should not be more than three digits ('0'-'9') in the file's name.
- The file's name contains exactly one dot "".""
- The substring before the dot should not be empty, and it starts with a letter from 
the latin alphapet ('a'-'z' and 'A'-'Z').
- The substring after the dot should be one of these: {'txt"", ""exe"", ""dll""}
Examples:
file_name_check(""example.txt"") => ""Yes""
file_name_check(""1example.dll"")  => ""No"" // (the name should start with a latin alphapet letter)
*/
#include<stdio.h>
#include<string>
using namespace std;
string file_name_check(string file_name){

    int numdigit=0,numdot=0;
    if (file_name.length()<5) return ""No"";
    char w=file_name[0];
    if (w<65 or (w>90 and w<97) or w>122) return ""No"";
    string last=file_name.substr(file_name.length()-4,4);
    if (last!="".txt"" and last!="".exe"" and last!="".dll"") return ""No"";
    for (int i=0;i<file_name.length();i++)
    {
        if (file_name[i]>=48 and file_name[i]<=57) numdigit+=1;
        if (file_name[i]=='.') numdot+=1;
    }
    if (numdigit>3 or numdot!=1) return ""No"";
    return ""Yes""; 
}

#undef NDEBUG
#include<assert.h>
int main(){
    assert (file_name_check(""example.txt"") == ""Yes"");
    assert (file_name_check(""1example.dll"") == ""No"");
    assert (file_name_check(""s1sdf3.asd"") == ""No"");
    assert (file_name_check(""K.dll"") == ""Yes"");
    assert (file_name_check(""MY16FILE3.exe"") == ""Yes"");
    assert (file_name_check(""His12FILE94.exe"") == ""No"");
    assert (file_name_check(""_Y.txt"") == ""No"");
    assert (file_name_check(""?aREYA.exe"") == ""No"");
    assert (file_name_check(""/this_is_valid.dll"") == ""No"");
    assert (file_name_check(""this_is_valid.wow"") == ""No"");
    assert (file_name_check(""this_is_valid.txt"") == ""Yes"");
    assert (file_name_check(""this_is_valid.txtexe"") == ""No"");
    assert (file_name_check(""#this2_i4s_5valid.ten"") == ""No"");
    assert (file_name_check(""@this1_is6_valid.exe"") == ""No"");
    assert (file_name_check(""this_is_12valid.6exe4.txt"") == ""No"");
    assert (file_name_check(""all.exe.txt"") == ""No"");
    assert (file_name_check(""I563_No.exe"") == ""Yes"");
    assert (file_name_check(""Is3youfault.txt"") == ""Yes"");
    assert (file_name_check(""no_one#knows.dll"") == ""Yes"");
    assert (file_name_check(""1I563_Yes3.exe"") == ""No"");
    assert (file_name_check(""I563_Yes3.txtt"") == ""No"");
    assert (file_name_check(""final..txt"") == ""No"");
    assert (file_name_check(""final132"") == ""No"");
    assert (file_name_check(""_f4indsartal132."") == ""No"");
    assert (file_name_check("".txt"") == ""No"");
    assert (file_name_check(""s."") == ""No"");
}
",partial pass,partial pass
CPP_127,"/*
You are given two intervals,
where each interval is a pair of integers. For example, interval = (start, end) = (1, 2).
The given intervals are closed which means that the interval (start, end)
includes both start and end.
For each given interval, it is assumed that its start is less or equal its end.
Your task is to determine whether the length of intersection of these two 
intervals is a prime number.
Example, the intersection of the intervals (1, 3), (2, 4) is (2, 3)
which its length is 1, which not a prime number.
If the length of the intersection is a prime number, return ""YES"",
otherwise, return ""NO"".
If the two intervals don't intersect, return ""NO"".


{input/output} samples:
intersection({1, 2}, {2, 3}) ==> ""NO""
intersection({-1, 1}, {0, 4}) ==> ""NO""
intersection({-3, -1}, {-5, 5}) ==> ""YES""
*/
#include<stdio.h>
#include<vector>
#include<string>
using namespace std;
string intersection( vector<int> interval1,vector<int> interval2){

    int inter1,inter2,l,i;
    inter1=max(interval1[0],interval2[0]);
    inter2=min(interval1[1],interval2[1]);
    l=inter2-inter1;
    if (l<2) return ""NO"";
    for (i=2;i*i<=l;i++)
        if (l%i==0) return ""NO"";
    return ""YES"";
}

#undef NDEBUG
#include<assert.h>
int main(){
    assert (intersection({1, 2}, {2, 3}) == ""NO"");
    assert (intersection({-1, 1}, {0, 4}) == ""NO"");
    assert (intersection({-3, -1}, {-5, 5}) == ""YES"");
    assert (intersection({-2, 2}, {-4, 0}) == ""YES"");
    assert (intersection({-11, 2}, {-1, -1}) == ""NO"");
    assert (intersection({1, 2}, {3, 5}) == ""NO"");
    assert (intersection({1, 2}, {1, 2}) == ""NO"");
    assert (intersection({-2, -2}, {-3, -2}) == ""NO"");
}
",partial pass,pass
CPP_31,"/*
Return true if a given number is prime, and false otherwise.
>>> is_prime(6)
false
>>> is_prime(101)
true
>>> is_prime(11)
true
>>> is_prime(13441)
true
>>> is_prime(61)
true
>>> is_prime(4)
false
>>> is_prime(1)
false
*/
#include<stdio.h>
using namespace std;
bool is_prime(long long n){

    if (n<2) return false;
    for (long long i=2;i*i<=n;i++)
        if (n%i==0) return false;
    return true;
}

#undef NDEBUG
#include<assert.h>
int main(){
    assert (is_prime(6) == false);
    assert (is_prime(101) == true);
    assert (is_prime(11) == true);
    assert (is_prime(13441) == true);
    assert (is_prime(61) == true);
    assert (is_prime(4) == false);
    assert (is_prime(1) == false);
    assert (is_prime(5) == true);
    assert (is_prime(11) == true);
    assert (is_prime(17) == true);
    assert (is_prime(5 * 17) == false);
    assert (is_prime(11 * 7) == false);
    assert (is_prime(13441 * 19) == false);
}
",pass,pass
CPP_17,"/*
Input to this function is a string representing musical notes in a special ASCII format.
Your task is to parse this string and return vector of integers corresponding to how many beats does each
not last.

Here is a legend:
""o"" - whole note, lasts four beats
""o|"" - half note, lasts two beats
"".|"" - quater note, lasts one beat

>>> parse_music(""o o| .| o| o| .| .| .| .| o o"")
{4, 2, 1, 2, 2, 1, 1, 1, 1, 4, 4}
*/
#include<stdio.h>
#include<vector>
#include<string>
using namespace std;
vector<int> parse_music(string music_string){ 

    string current="""";
    vector<int> out={};
    if (music_string.length()>0)
        music_string=music_string+' ';
    for (int i=0;i<music_string.length();i++)
    {
        if (music_string[i]==' ')
        {
            if (current==""o"") out.push_back(4);
            if (current==""o|"") out.push_back(2);
            if (current=="".|"") out.push_back(1);
            current="""";
        }
        else current+=music_string[i];
    }
    return out;
}

#undef NDEBUG
#include<assert.h>
bool issame(vector<int> a,vector<int>b){
    if (a.size()!=b.size()) return false;
    for (int i=0;i<a.size();i++)
    {
        if (a[i]!=b[i]) return false;
    }
    return true;
}
int main(){
    assert (issame(parse_music("""") , {}));
     assert (issame(parse_music(""o o o o"") ,{4, 4, 4, 4}));
      assert (issame(parse_music("".| .| .| .|"") , {1, 1, 1, 1}));
 assert (issame(parse_music(""o| o| .| .| o o o o"") , {2, 2, 1, 1, 4, 4, 4, 4}));
  assert (issame(parse_music(""o| .| o| .| o o| o o|"") , {2, 1, 2, 1, 4, 2, 4, 2}));
}
",pass,pass
CPP_148,"/*
There are eight planets in our solar system: the closerst to the Sun 
is Mercury, the next one is Venus, then Earth, Mars, Jupiter, Saturn, 
Uranus, Neptune.
Write a function that takes two planet names as strings planet1 and planet2. 
The function should return a vector containing all planets whose orbits are 
located between the orbit of planet1 and the orbit of planet2, sorted by 
the proximity to the sun. 
The function should return an empty vector if planet1 or planet2
are not correct planet names. 
Examples
bf(""Jupiter"", ""Neptune"") ==> {""Saturn"", ""Uranus""}
bf(""Earth"", ""Mercury"") ==> {""Venus""}
bf(""Mercury"", ""Uranus"") ==> {""Venus"", ""Earth"", ""Mars"", ""Jupiter"", ""Saturn""}
*/
#include<stdio.h>
#include<vector>
#include<string>
using namespace std;
vector<string> bf(string planet1,string planet2){

    vector<string> planets={""Mercury"",""Venus"",""Earth"",""Mars"",""Jupiter"",""Saturn"",""Uranus"",""Neptune""};
    int pos1=-1,pos2=-1,m;
    for (m=0;m<planets.size();m++)
    {
    if (planets[m]==planet1) pos1=m;
    if (planets[m]==planet2) pos2=m;
    }
    if (pos1==-1 or pos2==-1) return {};
    if (pos1>pos2) {m=pos1;pos1=pos2;pos2=m;}
    vector<string> out={};
    for (m=pos1+1;m<pos2;m++)
    out.push_back(planets[m]);
    return out;
}

#undef NDEBUG
#include<assert.h>
bool issame(vector<string> a,vector<string>b){
    if (a.size()!=b.size()) return false;
    for (int i=0;i<a.size();i++)
    {
    if (a[i]!=b[i]) return false;
    }
    return true;
}
int main(){
    assert (issame(bf(""Jupiter"", ""Neptune"") , {""Saturn"", ""Uranus""}));
    assert (issame(bf(""Earth"", ""Mercury"") , {""Venus"",}));
    assert (issame(bf(""Mercury"", ""Uranus"") , {""Venus"", ""Earth"", ""Mars"", ""Jupiter"", ""Saturn""}));
    assert (issame(bf(""Neptune"", ""Venus"") , {""Earth"", ""Mars"", ""Jupiter"", ""Saturn"", ""Uranus""}));
    assert (issame(bf(""Earth"", ""Earth"") , {}));
    assert (issame(bf(""Mars"", ""Earth"") , {}));
    assert (issame(bf(""Jupiter"", ""Makemake"") , {}));
}
",partial pass,pass
CPP_122,"/*
Given a non-empty vector of integers arr and an integer k, return
the sum of the elements with at most two digits from the first k elements of arr.

Example:

    Input: arr = {111,21,3,4000,5,6,7,8,9}, k = 4
    Output: 24 # sum of 21 + 3

Constraints:
    1. 1 <= len(arr) <= 100
    2. 1 <= k <= len(arr)
*/
#include<stdio.h>
#include<vector>
using namespace std;
int add_elements(vector<int> arr,int k){

    int sum=0;
    for (int i=0;i<k;i++)
        if( arr[i]>=-99 and arr[i]<=99)
            sum+=arr[i];
    return sum;
}

#undef NDEBUG
#include<assert.h>
int main(){
    assert (add_elements({1,-2,-3,41,57,76,87,88,99}, 3) == -4);
    assert (add_elements({111,121,3,4000,5,6}, 2) == 0);
    assert (add_elements({11,21,3,90,5,6,7,8,9}, 4) == 125);
    assert (add_elements({111,21,3,4000,5,6,7,8,9}, 4) == 24);
    assert (add_elements({1}, 1) == 1);
}
",partial pass,pass
CPP_7,"/*
Filter an input vector of strings only for ones that contain given substring
>>> filter_by_substring({}, ""a"")
{}
>>> filter_by_substring({""abc"", ""bacd"", ""cde"", ""vector""}, ""a"")
{""abc"", ""bacd"", ""vector""}
*/
#include<stdio.h>
#include<vector>
#include<string>
using namespace std;
vector<string> filter_by_substring(vector<string> strings, string substring){

    vector<string> out;
    for (int i=0;i<strings.size();i++)
    {
        if (strings[i].find(substring)!=strings[i].npos)
        out.push_back(strings[i]);
    }
    return out;
}

#undef NDEBUG
#include<assert.h>
bool issame(vector<string> a,vector<string>b){
    if (a.size()!=b.size()) return false;
    for (int i=0;i<a.size();i++)
    {
    if (a[i]!=b[i]) return false;
    }
    return true;
}
int main(){
    assert (issame(filter_by_substring({}, ""john""),{}));
     assert (issame(filter_by_substring({""xxx"", ""asd"", ""xxy"", ""john doe"", ""xxxAAA"", ""xxx""}, ""xxx""), {""xxx"", ""xxxAAA"", ""xxx""}));
    assert (issame(filter_by_substring({""xxx"", ""asd"", ""aaaxxy"", ""john doe"", ""xxxAAA"", ""xxx""}, ""xx""),{""xxx"", ""aaaxxy"", ""xxxAAA"", ""xxx""}));
     assert (issame(filter_by_substring({""grunt"", ""trumpet"", ""prune"", ""gruesome""}, ""run"") ,{""grunt"", ""prune""}));
}
",partial pass,partial pass
CPP_49,"/*
Return 2^n modulo p (be aware of numerics).
>>> modp(3, 5)
3
>>> modp(1101, 101)
2
>>> modp(0, 101)
1
>>> modp(3, 11)
8
>>> modp(100, 101)
1
*/
#include<stdio.h>
using namespace std;
int modp(int n,int p){

    int out=1;
    for (int i=0;i<n;i++)
        out=(out*2)%p;
    return out;
}

#undef NDEBUG
#include<assert.h>
int main(){
    assert (modp(3, 5) == 3);
    assert (modp(1101, 101) == 2);
    assert (modp(0, 101) == 1);
    assert (modp(3, 11) == 8);
    assert (modp(100, 101) == 1);
    assert (modp(30, 5) == 4);
    assert (modp(31, 5) == 3);
}
",partial pass,pass
CPP_55,"/*
Return n-th Fibonacci number.
>>> fib(10)
55
>>> fib(1)
1
>>> fib(8)
21
*/
#include<stdio.h>
using namespace std;
int fib(int n){

    int f[1000];
    f[0]=0;f[1]=1;
    for (int i=2;i<=n; i++)
    f[i]=f[i-1]+f[i-2];
    return f[n];
}

#undef NDEBUG
#include<assert.h>
int main(){
    assert (fib(10) == 55);
    assert (fib(1) == 1);
    assert (fib(8) == 21);
    assert (fib(11) == 89);
    assert (fib(12) == 144);
}
",partial pass,pass
CPP_115,"/*
You are given a rectangular grid of wells. Each row represents a single well,
and each 1 in a row represents a single unit of water.
Each well has a corresponding bucket that can be used to extract water from it, 
and all buckets have the same capacity.
Your task is to use the buckets to empty the wells.
Output the number of times you need to lower the buckets.

Example 1:
    Input: 
        grid : {{0,0,1,0}, {0,1,0,0}, {1,1,1,1}}
        bucket_capacity : 1
    Output: 6

Example 2:
    Input: 
        grid : {{0,0,1,1}, {0,0,0,0}, {1,1,1,1}, {0,1,1,1}}
        bucket_capacity : 2
    Output: 5

Example 3:
    Input: 
        grid : {{0,0,0}, {0,0,0}}
        bucket_capacity : 5
    Output: 0

Constraints:
    * all wells have the same length
    * 1 <= grid.length <= 10^2
    * 1 <= grid{:,1}.length <= 10^2
    * grid{i}{j} -> 0 | 1
    * 1 <= capacity <= 10
*/
#include<stdio.h>
#include<vector>
using namespace std;
int max_fill(vector<vector<int>> grid,int capacity){

    int out=0;
    for (int i=0;i<grid.size();i++)
    {
        int sum=0;
        for (int j=0;j<grid[i].size();j++)
            sum+=grid[i][j];
        if (sum>0)  out+=(sum-1)/capacity+1;
    }
    return out;
}

#undef NDEBUG
#include<assert.h>
int main(){
    assert (max_fill({{0,0,1,0}, {0,1,0,0}, {1,1,1,1}}, 1) == 6);
    assert (max_fill({{0,0,1,1}, {0,0,0,0}, {1,1,1,1}, {0,1,1,1}}, 2) == 5);
    assert (max_fill({{0,0,0}, {0,0,0}}, 5) == 0);
    assert (max_fill({{1,1,1,1}, {1,1,1,1}}, 2) == 4);
    assert (max_fill({{1,1,1,1}, {1,1,1,1}}, 9) == 2);
}
",partial pass,partial pass
CPP_137,"/*
Create a function that takes integers, floats, or strings representing
real numbers, and returns the larger variable in its given variable type.
Return ""None"" if the values are equal.
Note: If a real number is represented as a string, the floating point might be . or ,

compare_one(1, 2.5) ➞ 2.5
compare_one(1, ""2,3"") ➞ ""2,3""
compare_one(""5,1"", ""6"") ➞ ""6""
compare_one(""1"", 1) ➞ ""None""
*/
#include<stdio.h>
#include<string>
#include<algorithm>
#include<boost/any.hpp>
using namespace std;
boost::any compare_one(boost::any a,boost::any b){

    double  numa,numb;
    boost::any out;
   
    if (a.type()==typeid(string))
    {
        string s;
        s=boost::any_cast<string>(a);
        if (find(s.begin(),s.end(),',')!=s.end())
            for (int i=0;i<s.length();i++)
                if (s[i]==',') s=s.substr(0,i)+'.'+s.substr(i+1);
        numa=atof(s.c_str());
        
    }
    else 
    {
        if (a.type()==typeid(int)) numa=boost::any_cast<int>(a);
        if (a.type()==typeid(double)) numa=boost::any_cast<double>(a);
    }
    if (b.type()==typeid(string))
    {
        string s;
        s=boost::any_cast<string>(b);
        if (find(s.begin(),s.end(),',')!=s.end())
            for (int i=0;i<s.length();i++)
                if (s[i]==',') s=s.substr(0,i)+'.'+s.substr(i+1);
        numb=atof(s.c_str());
    }
    else 
    {
        if (b.type()==typeid(int)) numb=boost::any_cast<int>(b);
        if (b.type()==typeid(double)) numb=boost::any_cast<double>(b);
    }

    if (numa==numb) return string(""None"");
    if (numa<numb) return b;
    if (numa>numb) return a;
}

#undef NDEBUG
#include<assert.h>
int main(){
    assert (boost::any_cast<int>(compare_one(1, 2)) == 2);
    assert (boost::any_cast<double>(compare_one(1, 2.5))== 2.5);
    assert (boost::any_cast<int>(compare_one(2, 3)) == 3);
    assert (boost::any_cast<int>(compare_one(5, 6)) == 6);
    assert (boost::any_cast<string>(compare_one(1, string(""2,3"")))== ""2,3"");
    assert (boost::any_cast<string>(compare_one(string(""5,1""), string(""6""))) == ""6"");
    assert (boost::any_cast<string>(compare_one(string(""1""), string(""2""))) == ""2"");
    assert (boost::any_cast<string>(compare_one(string(""1""), 1)) == ""None"");
}
",pass,pass
