Index,GPT35,GPT4o,Gemma,Llama
CPP_60,0.5187610583511029,0.9460759930197996,0.8273828534748947,0.8664361836255375
CPP_61,0.7447440201399874,0.7187719201123601,0.6494662976353355,0.8026621465510251
CPP_62,0.4588479893944274,0.6593030447206105,0.4588228636656728,0.7065691057630128
CPP_63,0.4978487066000779,0.915295607109195,0.487846339532516,0.8726711829523849
CPP_64,0.4834262018340186,0.8166868836044578,0.4790491150999668,0.8703736943776761
CPP_65,N/A,0.8002160200837034,N/A,N/A
CPP_66,0.4398183111666374,0.7276610239226904,0.4251457021799978,0.7527862169353366
CPP_67,0.4707901372893601,0.654007695228927,N/A,N/A
CPP_68,0.5310458141688669,0.6558195496578352,0.5182158290981269,0.6457342292102886
CPP_69,0.5411234042861979,0.5856836408308128,N/A,N/A
CPP_70,N/A,0.6584064095952968,N/A,N/A
CPP_71,0.7866310963221683,0.9107073430508156,0.9354550636741488,0.8262461760682642
CPP_72,0.5255185877632484,0.546293106526093,0.4975493422124051,0.5194464096683316
CPP_73,0.7026521814026909,0.7064593327502247,0.6909300677183251,0.6832939337876183
CPP_74,0.6608322926419257,0.7231105710631311,0.547911512693786,N/A
CPP_75,0.5989510686536736,0.8307339274653716,0.7640927990090618,0.7845145642846039
CPP_76,0.5282387945444198,0.6489415877707244,0.7157060121035553,0.7045732038433502
CPP_77,0.5781795734176804,0.8233664642931686,0.7497534113263842,0.7697400618739729
CPP_78,0.4973249880393046,0.6243415721078159,0.48465126176475,0.6457329777029668
CPP_79,0.4622969323049714,0.6939133184755781,N/A,N/A
CPP_80,0.7304915861051096,0.7764076578652561,0.7822998129374336,0.7998365392249198
CPP_81,N/A,0.4955798813597897,N/A,N/A
CPP_82,0.7097888646593553,0.7833378387730808,0.9087953206604292,0.840170340155413
CPP_83,0.6963671326860791,0.8485840978787215,0.5261046613445932,0.6833462405874254
CPP_84,0.4713906647254808,0.5933149924117718,N/A,N/A
CPP_85,0.6289642527817194,0.6766150833279116,0.525552470347348,0.7440456417451912
CPP_86,N/A,0.707804848775758,N/A,N/A
CPP_87,0.4805931049417863,0.5937349290061047,N/A,N/A
CPP_88,N/A,0.7099280461344061,N/A,N/A
CPP_89,0.3506014645374995,0.7178201093405003,0.3357313841655795,N/A
CPP_90,N/A,0.6655261939134647,N/A,N/A
CPP_91,0.3732008473447422,0.568895898844887,0.6409366402017781,0.6638629400900713
CPP_92,0.7172056339604616,0.7774568353103419,0.7300357512256075,0.7625263075199658
CPP_93,0.3648603799792168,0.6381880595399013,N/A,N/A
CPP_94,0.5102396701804712,0.5744253553756319,N/A,N/A
CPP_95,0.4596935654286456,0.7668279956420292,0.4382280008720611,N/A
CPP_96,0.6848895074873682,0.6965032247588769,0.553308435971683,0.6699669575600864
CPP_97,0.4665151312365231,0.8633807361445514,0.6668940879232308,0.6510562629700078
CPP_98,0.4619316409191352,0.7827263978382765,0.4503042496297542,0.7737848815625161
CPP_99,0.5484321234061256,0.7707887447688444,0.8810846231451638,0.8847995289207065
CPP_100,0.5290891942857516,0.6117487403273543,0.5226795801150612,0.6495102050616739
CPP_101,N/A,0.5959515389695573,N/A,N/A
CPP_102,0.515856703108481,0.5750130897160908,0.5650887174525181,0.5704135367483611
CPP_103,0.4964335798346134,0.5872839521571371,N/A,N/A
CPP_104,N/A,0.632790573149706,N/A,N/A
CPP_105,N/A,0.4852823629362539,N/A,N/A
CPP_106,0.5539633320932003,0.6678153890480172,0.5456576637915828,0.6559523629671071
CPP_107,0.5099010589044448,0.6793057750187192,N/A,N/A
CPP_108,0.7192158740067855,0.775923474150051,0.7016225657170118,0.7509491889345282
CPP_109,0.6300600042167034,0.6055628484380662,0.5819855537032124,0.6437569515531192
CPP_110,0.5682705350730406,0.6251476379480828,N/A,N/A
CPP_111,N/A,0.5439207003357601,N/A,N/A
CPP_112,N/A,0.6146721652661618,N/A,N/A
CPP_113,N/A,0.729073347701169,N/A,N/A
CPP_114,0.8622899339209087,0.8600513706245849,0.7801580050374771,0.8648849649095952
CPP_115,0.5083178397897771,0.6037028795758014,0.506199940460042,0.6057114848006984
CPP_116,0.5630727187690531,0.7388322610271747,N/A,N/A
CPP_117,N/A,0.6438582419409411,N/A,N/A
CPP_118,0.4428679678950047,0.7761353696554621,N/A,N/A
CPP_119,0.499677241983261,0.5728920192736442,N/A,N/A
CPP_120,N/A,0.7037783932052782,N/A,N/A
CPP_121,0.6340464883613774,0.674670718866491,0.5166711883749935,0.6955654784312834
CPP_122,0.5370542990657564,0.6626906926656989,0.5310723904390355,0.6410203522316076
CPP_123,N/A,0.7262221517047662,N/A,N/A
CPP_124,0.456922130352144,0.8331466552464988,N/A,N/A
CPP_125,N/A,0.4919593288726954,N/A,N/A
CPP_126,0.7223718292743028,0.7218036808056929,0.7322585262459433,0.7269473957487592
CPP_127,0.6648914501283549,0.6015836088316355,0.6102279043199463,0.6428402319052207
CPP_128,0.7236039076300977,0.7171147665573449,0.6378810514887157,0.7372522446429592
CPP_129,0.4810171718671421,0.6923061106188866,N/A,N/A
CPP_130,0.5307026325434798,0.6854708566572036,N/A,N/A
CPP_131,0.4848116293662441,0.6471108894106923,0.4748509688898847,N/A
CPP_132,0.8097152714833381,0.7788415970175285,0.5725327375105422,0.6986269299471348
CPP_133,0.7345446779306022,0.7302523411712203,0.6642018668803684,0.7479529864109857
CPP_134,0.6582009928682404,0.6959008960283515,0.6498135882478622,0.7114901624090908
CPP_135,0.6633407725306479,0.6602458174465899,0.5385363238362231,0.6625538662433752
CPP_136,0.5252383290663973,0.7434161919337828,0.5146316888085565,0.7456285619689058
CPP_137,N/A,0.6642100593746963,N/A,N/A
CPP_138,0.6549993600946628,0.7479569304106279,0.6820024729933821,0.7121671907868088
CPP_139,0.4706353274145606,0.9226228484804584,0.7160802556708183,0.6778853818514787
CPP_140,N/A,0.3729341424647165,N/A,N/A
CPP_141,0.4556483926096325,0.6511342049767703,N/A,N/A
CPP_142,0.6682817317953077,0.6909356655984307,0.6211852124222261,0.6892539414244998
CPP_143,0.4428224525676048,0.7116954382220408,N/A,N/A
CPP_144,0.5175170712632684,0.5216890267878515,N/A,N/A
CPP_145,0.5829553819627614,0.7467678809471067,N/A,N/A
CPP_146,0.6242925610716101,0.6971892893700582,0.6175406831788013,N/A
CPP_147,N/A,0.5556861694655447,N/A,N/A
CPP_148,N/A,0.5150654558202843,N/A,N/A
CPP_149,N/A,0.6638766491347491,N/A,N/A
CPP_150,0.6326346645292696,0.7581776548816648,0.6418875544646894,0.7648582108055184
CPP_151,0.6372292542684601,0.6629429582513517,0.6173287506981375,0.7368762913301311
CPP_152,0.7344854016480246,0.6512284990807597,0.5807287439757765,0.7182206839694459
CPP_153,0.3920599230561211,0.54385033090553,N/A,N/A
CPP_154,0.4905796015085177,0.6533797152098735,N/A,N/A
CPP_155,0.5864328858730324,0.8208937446637659,N/A,N/A
CPP_156,N/A,0.7207965821122858,N/A,N/A
CPP_157,0.7810036819540607,0.968360438565699,0.9261715401723882,0.7770820466990123
CPP_158,0.4749983584957001,0.6976010632046008,N/A,N/A
CPP_159,0.5987041702087261,0.5662620324394614,0.5964966109667253,0.6165590244117429
CPP_160,0.5111393385830699,0.7528947766484678,N/A,N/A
CPP_161,0.3869229594646843,0.6814628855621194,N/A,N/A
CPP_162,0.3881575098215556,0.691371211406645,N/A,N/A
CPP_163,0.5233206456623727,0.6664004276389991,0.5218053278722199,0.8354552175554669
